"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JC_struc","JA_struc","NewHybrids_FinalAssignment"
"775","085763_1284_S87_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999962,3.8e-05,"NewHyb_JC"
"776","085764_1285_S88_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999961,3.9e-05,"NewHyb_JC"
"777","085765_1286_S89_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.99996,4e-05,"NewHyb_JC"
"778","085766_1287_S90_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"779","085767_1288_S91_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999967,3.3e-05,"NewHyb_JC"
"780","085768_1289_S92_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"781","085769_1290_S93_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999949,5.1e-05,"NewHyb_JC"
"782","085770_1291_S94_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999964,3.6e-05,"NewHyb_JC"
"783","085771_1292_S95_","NewHyb_BCJCxBC3JC",1.61575,"0.295; 0.597; 0.043; 0.681","NewHyb_BCJC",0.92279,"0; 0; 0.908; 0.014","NewHyb_BCJC",1,1,FALSE,0.830964,0.169036,"complexBC_JC"
"784","085772_1293_S96_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999961,3.9e-05,"NewHyb_JC"
"785","085773_1294_S97_","NewHyb_JC",3.99372,"1; 0.999; 0.995; 1","NewHyb_BC6JC",0.00625,"0; 0.001; 0.005; 0","NewHyb_JC",4,4,TRUE,0.998798,0.001202,"NewHyb_JC"
"786","085774_1295_S98_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999964,3.6e-05,"NewHyb_JC"
"787","085775_1296_S99_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999962,3.8e-05,"NewHyb_JC"
"788","085776_1297_S100_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999961,3.9e-05,"NewHyb_JC"
"789","085777_1298_S101_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999964,3.6e-05,"NewHyb_JC"
"790","085778_1299_S102_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999963,3.7e-05,"NewHyb_JC"
"791","085779_1300_S103_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999965,3.5e-05,"NewHyb_JC"
"792","085780_1301_S104_","NewHyb_JC",3.9872,"1; 0.994; 1; 0.994","NewHyb_BC6JC",0.01277,"0; 0.006; 0; 0.006","NewHyb_JC",4,4,TRUE,0.999146,0.000854,"NewHyb_JC"
"793","085781_1302_S105_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999964,3.6e-05,"NewHyb_JC"
"794","085782_1303_S106_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999947,5.3e-05,"NewHyb_JC"
"795","085783_1304_S107_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999954,4.6e-05,"NewHyb_JC"
"796","085784_1305_S108_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"797","085785_1306_S109_","NewHyb_JC",3.9922,"1; 1; 1; 0.993","NewHyb_BC6JC",0.00779,"0; 0; 0; 0.007","NewHyb_JC",4,4,TRUE,0.999583,0.000417,"NewHyb_JC"
"798","085786_1307_S110_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"799","085787_1308_S111_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"800","085788_1309_S112_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999951,4.9e-05,"NewHyb_JC"
"801","085789_1310_S113_","NewHyb_JC",3.99246,"1; 0.993; 1; 1","NewHyb_BC6JC",0.00752,"0; 0.007; 0; 0","NewHyb_JC",4,4,TRUE,0.999844,0.000156,"NewHyb_JC"
"802","085790_1311_S114_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999962,3.8e-05,"NewHyb_JC"
"803","085791_1312_S115_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.99996,4e-05,"NewHyb_JC"
"804","085792_1313_S116_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.99996,4e-05,"NewHyb_JC"
"805","085793_1314_S117_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999964,3.6e-05,"NewHyb_JC"
"806","085794_1315_S118_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999957,4.3e-05,"NewHyb_JC"
"807","085795_1316_S119_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999962,3.8e-05,"NewHyb_JC"
"808","085796_1317_S120_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999957,4.3e-05,"NewHyb_JC"
"809","085797_1318_S121_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999909,9.1e-05,"NewHyb_JC"
"810","085798_1319_S122_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999962,3.8e-05,"NewHyb_JC"
"811","085800_1321_S124_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999955,4.5e-05,"NewHyb_JC"
"812","085801_1322_S125_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999954,4.6e-05,"NewHyb_JC"
"813","085802_1323_S126_","NewHyb_JC",3.99387,"0.994; 1; 1; 1","NewHyb_BC6JC",0.00595,"0.006; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999794,0.000206,"NewHyb_JC"
