"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"2817","100636_1979_S171_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.993064,0.006936,2.5e-05,0.999949,2.5e-05,0.034098,1.6e-05,0.96587,1.6e-05,0.038276,0.638835,1.2e-05,1.2e-05,0.322865,"JC"
"2818","100637_1980_S172_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.999812,0.000188,2.5e-05,0.791251,0.208724,1.6e-05,0.15562,0.844348,1.6e-05,0.40742,0.430682,1.2e-05,1.2e-05,0.161873,"JC"
"2819","100638_1981_S173_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.99971,0.00029,2.3e-05,0.999952,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.737395,1.2e-05,1.2e-05,0.262568,"JC"
"2820","100639_1982_S174_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999847,0.000153,2.5e-05,0.81075,0.189224,1.6e-05,0.10765,0.892317,1.6e-05,0.686763,1.2e-05,1.2e-05,1.2e-05,0.3132,"JC"
"2821","100640_1983_S175_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999804,0.000196,2.5e-05,0.999949,2.5e-05,0.007688,1.6e-05,0.99228,1.6e-05,0.295517,1.2e-05,0.044382,1.2e-05,0.660076,"JC"
"2822","100641_1984_S176_","JC",4.99156,"1; 1; 0.999; 0.993; 1","BC6JC",0.00552,"0; 0; 0.001; 0.004; 0","JC",5,5,TRUE,0.000246,0.999754,0.99978,0.00022,2.5e-05,0.819899,0.180076,1.6e-05,0.132894,0.867074,1.6e-05,0.541871,1.2e-05,1.2e-05,1.2e-05,0.458092,"JC"
"2823","100642_1985_S177_","BCJCxBCJA",4.48205,"1; 1; 1; 0.488; 0.994","F1",0.51765,"0; 0; 0; 0.512; 0.006","BCJCxBCJA",4,4,TRUE,0.473268,0.526732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"2824","100643_1986_S178_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.1e-05,0.999959,0.999851,0.000149,2.5e-05,0.999949,2.5e-05,0.813505,0.039308,0.14717,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"JC"
"2825","100644_1987_S179_","BCJCxBCJA",3.62157,"0; 0.993; 0.96; 0.973; 0.695","F1",1.37839,"1; 0.007; 0.04; 0.027; 0.305","BCJCxBCJA",3,4,TRUE,0.47427,0.52573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"2826","100645_1988_S180_","JC",4.98598,"0.987; 1; 0.999; 1; 1","BC6JC",0.01394,"0.013; 0; 0.001; 0; 0","JC",5,5,TRUE,0.000225,0.999775,0.999845,0.000155,2.5e-05,0.80929,0.190684,0.171159,0.155971,0.672854,1.6e-05,0.468438,0.163157,1.2e-05,1.2e-05,0.36838,"JC"
"2827","100646_1989_S181_","BCJCxBCJA",3.82824,"0.006; 1; 0.822; 1; 1","F1",1.1717,"0.994; 0; 0.178; 0; 0","BCJCxBCJA",4,5,TRUE,0.476319,0.523681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"2828","100647_1990_S182_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.999838,0.000162,2.5e-05,0.915369,0.084605,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.608239,1.2e-05,1.2e-05,0.391724,"JC"
"2829","100648_1991_S183_","BCJCxBCJA",4.99741,"0.998; 0.999; 1; 1; 1","F1",0.00172,"0.002; 0; 0; 0; 0","BCJCxBCJA",5,5,TRUE,0.483872,0.516128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"2830","100649_1992_S184_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999856,0.000144,2.5e-05,0.949188,0.050787,0.790736,0.209232,1.6e-05,1.6e-05,1.2e-05,0.140977,1.2e-05,1.2e-05,0.858986,"JC"
"2831","100650_1993_S185_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.37297,0.62703,0.999949,2.6e-05,2.6e-05,0.222525,0.053118,1.6e-05,0.724341,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"JC"
"2832","100651_1994_S186_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.3e-05,0.999967,0.999845,0.000155,2.5e-05,0.871991,0.127984,1.6e-05,0.124941,0.875026,1.6e-05,0.31696,0.355497,1.2e-05,1.2e-05,0.327519,"JC"
"2833","100652_1995_S187_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4e-05,0.99996,0.98649,0.01351,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,1.2e-05,0.088725,1.2e-05,0.911238,"JC"
"2834","100653_1996_S188_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999794,0.000206,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"JC"
