"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"915","085906_1427_S230_","NewHyb_JC",3.993,"1; 1; 0.994; 1","NewHyb_BC6JC",0.00698,"0; 0; 0.006; 0","NewHyb_JC",4,4,TRUE,0.000173,0.999827,NA,0.962258,0.037742,0.085286,0.914689,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.810732,1.2e-05,1.2e-05,0.189231,"NewHyb_JC"
"916","085907_1428_S231_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,9.4e-05,0.999906,"JC",0.985503,0.014497,2.5e-05,0.999949,2.5e-05,0.099515,1.6e-05,0.900452,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"NewHyb_JC"
"917","085908_1429_S232_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.3e-05,0.999967,"JC",0.931297,0.068703,0.149268,0.850707,2.5e-05,0.063186,1.6e-05,0.892123,0.044675,0.004463,0.892475,1.2e-05,1.2e-05,0.103037,"NewHyb_JC"
"918","085909_1430_S233_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,4.6e-05,0.999954,"JC",0.305786,0.694214,0.999949,2.5e-05,2.5e-05,0.17682,1.6e-05,1.6e-05,0.823148,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"NewHyb_JC"
"919","085910_1431_S234_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.5e-05,0.999965,"JC",0.971252,0.028748,0.080499,0.919475,2.5e-05,0.056263,1.6e-05,0.940626,0.003095,1.2e-05,0.694126,1.2e-05,1.2e-05,0.305837,"NewHyb_JC"
"920","085911_1432_S235_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.5e-05,0.999965,"JC",0.484554,0.515446,0.999949,2.6e-05,2.6e-05,0.357613,1.6e-05,1.6e-05,0.642355,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"NewHyb_JC"
"921","085912_1433_S236_","NewHyb_BCJC",4,"1; 1; 1; 1","NewHyb_JC",0,"0; 0; 0; 0","NewHyb_BCJC",4,4,TRUE,0.280367,0.719633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NewHyb_BCJC"
"922","085913_1434_S237_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,7e-05,0.99993,"JC",0.999851,0.000149,2.5e-05,0.80822,0.191755,0.805418,0.194549,1.6e-05,1.6e-05,0.334211,1.2e-05,1.2e-05,1.2e-05,0.665752,"NewHyb_JC"
"923","085914_1435_S238_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,4.3e-05,0.999957,"JC",0.999843,0.000157,2.5e-05,0.582173,0.417802,0.084778,0.337978,0.577227,1.6e-05,0.83511,1.2e-05,1.2e-05,1.2e-05,0.164854,"NewHyb_JC"
"924","085915_1436_S239_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.8e-05,0.999962,"JC",0.99982,0.00018,2.5e-05,0.753154,0.24682,0.122809,0.196642,0.680533,1.6e-05,0.669862,1.2e-05,1.2e-05,1.2e-05,0.330101,"NewHyb_JC"
"925","085916_1437_S240_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.000312,0.999688,NA,0.999566,0.000434,2.5e-05,0.999949,2.6e-05,0.763259,0.236708,1.6e-05,1.6e-05,0.801344,0.198619,1.2e-05,1.2e-05,1.2e-05,"NewHyb_JC"
"926","085917_1438_S241_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.8e-05,0.999962,"JC",0.99984,0.00016,2.5e-05,0.593823,0.406151,1.6e-05,0.322552,0.677416,1.6e-05,0.826408,0.138031,1.2e-05,1.2e-05,0.035537,"NewHyb_JC"
"927","085918_1439_S242_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.6e-05,0.999964,"JC",0.999793,0.000207,2.5e-05,0.971405,0.028569,1.6e-05,0.015156,0.984811,1.6e-05,0.332041,1.2e-05,1.2e-05,1.2e-05,0.667922,"NewHyb_JC"
"928","085919_1440_S243_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.6e-05,0.999964,"JC",0.988876,0.011124,0.002748,0.997226,2.5e-05,0.027357,1.6e-05,0.97261,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"NewHyb_JC"
"929","085920_1441_S244_","NewHyb_BCJCxBC3JC",2.1434,"0.887; 0.254; 0.777; 0.226","NewHyb_BCJCxBC2JC",1.8447,"0.113; 0.743; 0.219; 0.77","NewHyb_BCJCxBC3JC",2,3,TRUE,0.201052,0.798948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBC_JC"
"930","085921_1442_S245_","NewHyb_BC6JC",3.03151,"0.13; 0.956; 0.955; 0.991","NewHyb_JC",0.87751,"0.863; 0.003; 0.006; 0.005","NewHyb_BC6JC",3,4,TRUE,0.004927,0.995073,NA,0.425609,0.574391,0.867116,0.015463,0.117422,0.26779,0.078806,1.6e-05,0.653387,1.2e-05,1.2e-05,0.769194,1.2e-05,0.230769,"NewHyb_BC6JC"
"931","085922_1443_S246_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.9e-05,0.999961,"JC",0.972485,0.027515,0.07529,0.924684,2.5e-05,0.303397,1.6e-05,0.696571,1.6e-05,1.2e-05,0.491269,1.2e-05,1.2e-05,0.508694,"NewHyb_JC"
