"HASC_2","NAME_2","NAME_1","JC","BC6JC","complexBCJC","F1","BC2JAxBC3JC","BCJCxBCJA","BCJC","F2","BCJAxBCJA","BCJCxBC3JC","BCJCxBCJC","BCJA","JA","BC2JC","BCJCxBC2JC","complexBCJA","complexBCF","BC2JCxBC3JC","BC4JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"US.IL.TA","Tazewell","Illinois",2,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0.758247111111111,6,9,66.6666666666667
"US.IL.VE","Vermilion","Illinois",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5e-05,0,1,0
"US.IL.WN","Winnebago","Illinois",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965444444444,0,9,0
"US.IL.WO","Woodford","Illinois",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.705371,1,1,100
"US.IN.BA","Bartholomew","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IN.BO","Boone","Indiana",4,0,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.768946,7,11,63.6363636363636
"US.IN.BR","Brown","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,1,0
"US.IN.CS","Cass","Indiana",20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.990305428571429,1,21,4.76190476190476
"US.IN.DU","Dubois","Indiana",5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.891664428571429,2,7,28.5714285714286
"US.IN.EL","Elkhart","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IN.FA","Fayette","Indiana",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8796445,1,2,50
"US.IN.FU","Fulton","Indiana",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95516875,1,4,25
"US.IN.JN","Jennings","Indiana",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999857,0,4,0
"US.IN.KN","Knox","Indiana",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.971485375,1,8,12.5
"US.IN.KO","Kosciusko","Indiana",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.593704333333333,2,3,66.6666666666667
"US.IN.LA","LaPorte","Indiana",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,4,0
"US.IN.LG","LaGrange","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IN.LW","Lawrence","Indiana",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999907142857143,0,7,0
"US.IN.MG","Morgan","Indiana",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.886563,2,3,66.6666666666667
"US.IN.MN","Martin","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9915945,1,2,50
