SampleID,SiteNumber,Aziz_descrip,location,LabID,SampleNumber,SampleNumber2,FromWhatSpreadsheet,FromWhatSpreadsheet_notes,Latitude,Longitude,SiteOwner,DateSampled,PlantHeight_ft,DBH_cm,ProducingSeed,PercentLiveCanopy,EpicormicBranches_FromBase,EpicormicBranches_FromTrunk,VisibleCankers,Calloused_YN,AreaInfectedByCanker_Trunk_perc,AreaInfectedByCanker_RootFlare_prec,InfectionSeverity,TerminalBudShape,BudScarShape,LenticalShape,FruitsPerBunch,Seedling_YN
JC-W-CPVT-33,CPVT,CP033,,,33,33,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33248,-73.2481,,8/28/2025,2.1,,,,,,N,,,,,0,0,0,,Y
JC-W-CPVT-34,CPVT,CP034,,,34,34,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3325,-73.24834,,8/28/2025,1.6,,,,,,N,,,,,0,0,0,,Y
JC-W-CPVT-35,CPVT,CP035,,,35,35,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33247,-73.24842,,8/28/2025,1.7,,,,,,N,,,,,0,0,0,,Y
JC-W-CPVT-36,CPVT,CP036,,,36,36,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33248,-73.24801,,8/28/2025,36.9,20.6,No,100,N,N,Y,Y,30,0,1,0,0,0,,N
JC-W-CPVT-37,CPVT,CP037,,,37,37,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33526,-73.24285,,8/25/2025,54.3,39.2,Yes,100,N,N,Y,Y,8,15,2,0,0,0,5,N
JC-W-CPVT-38,CPVT,CP038,,,38,38,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33501,-73.24323,,8/25/2025,79.7,58.4,No,95,N,N,Y,Y,5,5,1.5,,,,,N
JC-W-CPVT-39,CPVT,CP039,,,39,39,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33535,-73.24274,,8/26/2025,2.2,,,,,,Y,Y,,,,0,0,0,,Y
JC-W-CPVT-40,CPVT,CP040,,,40,40,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33531,-73.24266,,8/25/2025,2.3,,,,,,Y,N,,,,,,,,Y
JC-W-CPVT-41,CPVT,CP041,,,41,41,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3354,-73.24274,,8/25/2025,3.8,,,,,,Y,Y,,,,,,,,Y
JC-W-CPVT-42,CPVT,CP042,,,42,42,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3354,-73.24271,,8/25/2025,3,,,,,,N,,,,,,,,,Y
JC-W-CPVT-43,CPVT,CP043,,,43,43,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33544,-73.24273,,8/25/2025,3.5,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-44,CPVT,CP044,,,44,44,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33544,-73.24269,,8/25/2025,3.9,,,,,,Y,N,,,,1,0,0,,Y
JC-W-CPVT-45,CPVT,CP045,,,45,45,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33542,-73.24257,,8/26/2025,2.1,,,,,,Y,Y,,,,0,0,0,,Y
JC-W-CP-46,CP,CP046,,,46,46,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33515,-73.24262,,8/25/2025,3.48,,,,,,Y,N,,,,,,,,Y
JC-W-CPVT-47,CPVT,CP047,,,47,47,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33515,-73.24251,,8/25/2025,2.92,,,,,,N,,,,,,,,,Y
JC-W-CPVT-48,CPVT,CP048,,,48,48,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33511,-73.24257,,5/25/2025,3.68,,,,,,Y,N,,,,,,,,Y
JC-W-CPVT-49,CPVT,CP049,,,49,49,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33248,-73.24766,,8/28/2025,30.3,19.4,No,90,N,N,Y,Y,60,95,3,,,,,N
JC-W-CPVT-50,CPVT,CP050,,,50,50,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33255,-73.2477,,8/28/2025,39.5,39.5,No,30,N,N,Y,Y,70,96,4.5,,,,,N
