,index_number,LabID,JP_fastStruc_K2_JA,JP_fastStruc_K2_JC,Country,Description,latitude_dd,Longitude_dd,Canker,mapid,dbh_mm,Natural.Forest.Plantation,Situation,Sample.collection.Year,Resource
68,51-22-35,090901_51-22-35_S40_,3.50E-05,0.999965,USA,1300,40.00032,-86.25027,Y,HTIRC,85,Plantation with wild resources,Exact Location,2025,Seeds
69,51-19-67,090958_51-19-67_S97_,0.148501,0.851499,USA,1301,39.83181,-84.88999,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
70,51-13-74,091019_51-13-74_S158_,3.60E-05,0.999964,USA,1304,39.99855,-86.28926,Y,HTIRC,92,Plantation with wild resources,City level,2025,Seeds
71,44-21-15,079291_44-21-15_S296_,0.493547,0.506453,USA,1309,41.19898,-85.70308,N,HTIRC,134,Plantation with wild resources,suburban edge trees,2025,Seeds
72,51-11-57,091034_51-11-57_S173_,0.725301,0.274699,USA,1309,41.19898,-85.70308,N,HTIRC,139,Plantation with wild resources,suburban edge trees,2025,Seeds
73,44-22-11,079285_44-22-11_S290_,3.90E-05,0.999961,USA,1309,41.19898,-85.70308,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
74,51-15-62,090993_51-15-62_S132_,3.50E-05,0.999965,USA,1311,41.16102,-85.48541,Y,HTIRC,89,Plantation with wild resources,City level,2025,Seeds
75,44-18-17,079293_44-18-17_S298_,3.70E-05,0.999963,USA,1314,39.19621,-86.22737,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
76,51-20-58,090942_51-20-58_S81_,3.40E-05,0.999966,USA,1316,39.20947,-85.91785,Y,HTIRC,81,Plantation with wild resources,Exact Location,2025,Seeds
77,51-24-74,090875_51-24-74_S14_,3.40E-05,0.999966,USA,1324,41.64261,-85.4265,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
78,51-24-44,090871_51-24-44_S10_,3.40E-05,0.999966,USA,1326,38.36428,-86.8798,Y,HTIRC,145,Plantation with wild resources,Exact Location,2025,Seeds
79,51-21-45,090926_51-21-45_S65_,0.003455,0.996545,USA,1327,38.36428,-86.8798,Y,HTIRC,129,Plantation with wild resources,Exact Location,2025,Seeds
80,44-9-18,079359_44-9-18_S364_,0.546007,0.453993,USA,1328,38.36428,-86.8798,N,HTIRC,147,Plantation with wild resources,suburban edge trees,2025,Seeds
81,51-14-13,090999_51-14-13_S138_,3.30E-05,0.999967,USA,1329,38.36428,-86.8798,Y,HTIRC,141,Plantation with wild resources,City level,2025,Seeds
82,51-23-78,090895_51-23-78_S34_,3.40E-05,0.999966,USA,1330,38.36428,-86.8798,Y,HTIRC,119,Plantation with wild resources,Exact Location,2025,Seeds
83,51-17-28,090971_51-17-28_S110_,3.70E-05,0.999963,USA,1331,39.65122,-87.46027,Y,HTIRC,109,Plantation with wild resources,City level,2025,Seeds
