SAMPLE ID,COLLECTION ID,Source,COLLECTOR,SUSPECTED SPECIES,PLACE COLLECTED,DATE COLLECTED,SUPP VARIETY,NEWHYBR,SSR p(JC),SSR p(JA),CAPS 2,CAPS 5,CAPS 7,CAPS 10,CAPS ALL,GPS 1,GPS 2,UTM ,X,Y,ELEVATION,DBH (in),HEIGHT (ft),# BOLE CANKERS,CROWN DIAM (ft),CROWN RATIO,CROWN DIEBACK (%),SLOPE,ASPECT,CANKER SCORE,NUTS ON GROUND,NOTES,NOTES 2,ALTERNATE COLLECTOR ID,ALTERNATE COLLECTOR ID 2,Date Extracted,Date ND'd/ Diluted,New Mass DNA,Old Mass DNA,,,,,
JA1069,10-71*1,Garden,Morton Arboretum,J. ailantifolia,Japan,2/26/2007,unknown,NA,,,A (Apr 13),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,1916.8,1916.8,,,,,
JA1070,77-441*A,Garden,Cornell,J. ailantifolia,unknown,3/5/2007,unknown,JA,0.005,0.995,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,42.45198402,-76.46269798,,,,,,,,,,,,,,,"location of plantation road, approximated from Google",,,,,5/28/2009,251,616.14,,,,,
JA1071,77-448*A,Garden,Cornell,J. ailantifolia,unknown,3/5/2007,unknown,NA,0.637,0.363,A (Nov20),,A (Nov 26),A (Apr 13),A A A ,42.45198402,-76.46269798,,,,,,,,,,,,,,,"location of plantation road, approximated from Google",,,,,5/28/2009,220,623.18,,,,,
JA1072,65-139*A,Garden,Cornell,J. ailantifolia var. cordiformis,Arboretum transfer,3/5/2007,unknown,JA,0.004,0.996,A (Nov20),,,A (Nov 27 & Dec11),A A ,42.45198402,-76.46269798,,,,,,,,,,,,,,,"location of plantation road, approximated from Google",,,,,1/8/2008,327,1008.9,,,,,
JA1073,65-139*C,Garden,Cornell,J. ailantifolia var. cordiformis,Arboretum transfer,3/5/2007,unknown,NA,0.613,0.387,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,42.45198402,-76.46269798,,,,,,,,,,,,,,,"location of plantation road, approximated from Google",,,,,1/8/2008,388,2687.3,,,,,
JA1074,65-139*D,Garden,Cornell,J. ailantifolia var. cordiformis,Arboretum transfer,3/5/2007,unknown,NA,,,?? (Nov20),,?? (Dec 10),?? (Dec 10),?? ?? ?? ,42.45198402,-76.46269798,,,,,,,,,,,,,,,"location of plantation road, approximated from Google",,,,,1/8/2008,227,523.06,,,,,
JA1075,78-080*A,Garden,Cornell,J. ailantifolia var. cordiformis,Nursery sample,3/5/2007,unknown,JA,0.005,0.995,A (Nov20),,,A (Nov 27 & Mar 27),A A ,42.45198402,-76.46269798,,,,,,,,,,,,,,,"location of plantation road, approximated from Google",,,,,1/8/2008,417,1533.2,,,,,
JA1076,81-015*A,Garden,Cornell,J. ailantifolia var. cordiformis,Nursery sample,3/5/2007,unknown,NA,0.004,0.996,A (Apr 13),,A (Dec 10),A (Dec 10),A A A ,42.45198402,-76.46269798,,,,,,,,,,,,,,,"location of plantation road, approximated from Google",,,,,,1173,1173,,,,,
JA1077,59-118*A,Garden,Cornell,J. ailantifolia var. cordiformis,Nursery sample,3/5/2007,Fodermier,NA,0.004,0.996,A (Apr 13),,A (Nov 26),A (Nov 27),A A A ,42.45198402,-76.46269798,,,,,,,,,,,,,,,"location of plantation road, approximated from Google",,,,,,1479.4,1479.4,,,,,
JA1078,14779A,Garden,Arnold Arboretum,J. ailantifolia,Japanese nursery,3/13/2007,unknown,NA,,,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,42.30088781,-71.12540245,,,,,,,,,,,,,,,"location of arboretum planting, approximated from Google",,,,,,339.31,339.31,,,,,
JA1079,429-77B,Garden,Arnold Arboretum,J. ailantifolia,Swedish botanic garden,3/13/2007,unknown,JA,0.009,0.991,A (Dec 14),,A (Dec 10),A (Dec 10),A A A ,42.30088781,-71.12540245,,,,,,,,,,,,,,,"location of arboretum planting, approximated from Google",,,,,5/28/2009,17,32.69,,,,,
JA1080,WGC_HN1,Garden,Sean Hoban,J. ailantifolia var. cordiformis,"Warren Golf Course, ND",6/28/2007,,JA,,,"A (Mar 4, 2009)",,,A (October 3 2009),A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1081,WGC_HN2,Garden,Sean Hoban,J. ailantifolia var. cordiformis,"Warren Golf Course, ND",6/28/2007,,JA,,,"A (Mar 4, 2009)",,,A (October 3 2009),A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1082,WGC_HN3,Garden,Sean Hoban,J. ailantifolia var. cordiformis,"Warren Golf Course, ND",6/28/2007,,JA,,,"A (Mar 4, 2009)",,,A (October 3 2009),A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1083,WGC_HN4,Garden,Sean Hoban,J. ailantifolia,"Warren Golf Course, ND",6/27/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1084,JA01; 5,Garden,Tim McCleary,J. ailantifolia,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1085,JA02; 0006.6,Garden,Tim McCleary,J. ailantifolia,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1086,JA03; 003.01,Garden,Tim McCleary,J. ailantifolia,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1087,JA04; 008.7,Garden,Tim McCleary,J. ailantifolia,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1088,JA05; 009.24,Garden,Tim McCleary,J. ailantifolia,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1089,JA06; 006.10,Garden,Tim McCleary,J. ailantifolia,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1090,JA07; 0001.1,Garden,Tim McCleary,J. ailantifolia var. cordiformis,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1091,JA08; 007.9,Garden,Tim McCleary,J. ailantifolia var. cordiformis,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1092,JA09; 002.1,Garden,Tim McCleary,J. ailantifolia var. cordiformis,UCDavis (Germplasm Repository),5/14/2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA1093,Campbell CW3-1,Garden,Sean Hoban,J. ailantifolia var. cordiformis,Grimo Nut Nursery,5/16/2008,Campbell CW3,JA,0.005,0.995,A (Jul 30),,,A (Aug 1),A A ,,,,,,,,10-15 .,,,,,,,,,Front Yard,,,,,,,,,,,,
