"HASC_2","NAME_2","NAME_1","JC","complexBCJC","F1","BCJCxBCJA","F2xBCJC","BCJCxBC2JAvs","BC2JC","BCJC","F2","complexBCF","complexBCJA","BCJA","JA","BCJAxBCJA","BCJCxBC3JC","BC2JCxBC3JC","BC4JC","F1xBCJA","F1xF2","BCJCxBCJC","BC6JC","BCJCxBC2JC","BC2JAxBC3JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"US.AR.PH","Phillips","Arkansas",17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965111111111111,1,18,5.55555555555556
"US.CT.FA","Fairfield","Connecticut",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63466225,4,4,100
"US.CT.HA","Hartford","Connecticut",5,0,5,0,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693126444444444,13,18,72.2222222222222
"US.CT.LI","Litchfield","Connecticut",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,2,2,100
"US.CT.MI","Middlesex","Connecticut",0,1,6,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.472333214285714,14,14,100
"US.CT.NH","New Haven","Connecticut",4,1,8,0,0,0,0,7,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0.535033333333333,24,30,80
"US.CT.NL","New London","Connecticut",1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.462666666666667,3,6,50
"US.CT.TO","Tolland","Connecticut",2,0,0,0,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7415618,8,10,80
"US.CT.WI","Windham","Connecticut",1,1,3,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.56553675,11,12,91.6666666666667
"US.DE.NE","New Castle","Delaware",2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.6205,3,6,50
"US.IA.AL","Allamakee","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
