"","ID","z","index"
"331","1400",NA,"331"
"332","1403",NA,"332"
"333","1404",NA,"333"
"334","1406",NA,"334"
"335","1408",NA,"335"
"336","1410",NA,"336"
"337","1411",NA,"337"
"338","1412",NA,"338"
"339","1413",NA,"339"
"340","1414",NA,"340"
"341","1415",NA,"341"
"342","1416",NA,"342"
"343","1417",NA,"343"
"344","1433",NA,"344"
"345","1434",NA,"345"
"346","1435",NA,"346"
"347","1120",NA,"347"
"348","1122",NA,"348"
"349","1124",NA,"349"
"350","1125",NA,"350"
"351","1126",NA,"351"
"352","1127",NA,"352"
"353","1128",NA,"353"
"354","1129","z0","354"
"355","1130",NA,"355"
"356","1131",NA,"356"
"357","1135",NA,"357"
"358","1136","z0","358"
"359","1137","z0","359"
"360","1138","z0","360"
"361","1140","z0","361"
"362","1142",NA,"362"
"363","1144",NA,"363"
"364","1145",NA,"364"
"365","1146",NA,"365"
"366","1147","z0","366"
"367","1148","z0","367"
"368","1150",NA,"368"
"369","1151","z0","369"
"370","1153",NA,"370"
"371","1154",NA,"371"
"372","1155",NA,"372"
"373","1156",NA,"373"
"374","1157",NA,"374"
"375","1158",NA,"375"
"376","1159","z0","376"
"377","1160",NA,"377"
"378","1161",NA,"378"
"379","1163",NA,"379"
"380","1164",NA,"380"
"381","1165","z0","381"
"382","1166",NA,"382"
"383","1167",NA,"383"
"384","1168",NA,"384"
"385","1169",NA,"385"
"386","1170",NA,"386"
"387","1171",NA,"387"
"388","1172",NA,"388"
"389","1173",NA,"389"
"390","1174",NA,"390"
"391","1175","z0","391"
"392","1176",NA,"392"
"393","1177",NA,"393"
"394","1178",NA,"394"
"395","1179",NA,"395"
"396","1180","z0","396"
"397","1181","z0","397"
"398","1182",NA,"398"
"399","1184","z0","399"
"400","1185",NA,"400"
"401","1186",NA,"401"
"402","1187",NA,"402"
"403","1188","z0","403"
"404","1189",NA,"404"
"405","1190",NA,"405"
"406","1191",NA,"406"
"407","1192","z0","407"
"408","1193","z0","408"
"409","1194",NA,"409"
"410","1195",NA,"410"
"411","1196",NA,"411"
"412","1197",NA,"412"
"413","1762",NA,"413"
"414","1763",NA,"414"
"415","1764",NA,"415"
"416","1765","z0","416"
"417","1766",NA,"417"
"418","1767",NA,"418"
"419","1770","z0","419"
"420","1771",NA,"420"
"421","1772",NA,"421"
"422","1773",NA,"422"
"423","1774",NA,"423"
"424","1775","z0","424"
"425","1776","z0","425"
"426","1777","z0","426"
"427","1778",NA,"427"
"428","1779",NA,"428"
"429","1780",NA,"429"
"430","1781","z0","430"
"431","1782","z0","431"
"432","1783","z0","432"
"433","1784","z0","433"
"434","1785",NA,"434"
"435","1786","z0","435"
"436","1787","z0","436"
"437","1788",NA,"437"
"438","1789",NA,"438"
"439","1790","z0","439"
"440","1791","z0","440"
"441","2306",NA,"441"
"442","2307",NA,"442"
"443","2308",NA,"443"
"444","2309",NA,"444"
"445","2310",NA,"445"
"446","2311",NA,"446"
"447","2312",NA,"447"
"448","2313",NA,"448"
"449","2314",NA,"449"
"450","2315",NA,"450"
"451","2316",NA,"451"
"452","2317",NA,"452"
"453","2318",NA,"453"
"454","2319",NA,"454"
"455","2320",NA,"455"
"456","2321",NA,"456"
"457","2322",NA,"457"
"458","2323",NA,"458"
"459","2324",NA,"459"
"460","2325",NA,"460"
"461","2326",NA,"461"
"462","2328",NA,"462"
"463","2329",NA,"463"
"464","2330",NA,"464"
"465","2331",NA,"465"
"466","2332",NA,"466"
"467","2333",NA,"467"
"468","2334",NA,"468"
"469","2335",NA,"469"
"470","2336",NA,"470"
"471","2337",NA,"471"
"472","2338",NA,"472"
"473","2339",NA,"473"
"474","2340",NA,"474"
"475","2341",NA,"475"
"476","2342",NA,"476"
"477","2343",NA,"477"
"478","2344",NA,"478"
"479","2345",NA,"479"
"480","2346",NA,"480"
"481","2347",NA,"481"
"482","2348",NA,"482"
"483","2349",NA,"483"
"484","2350",NA,"484"
"485","2351",NA,"485"
"486","2352",NA,"486"
"487","2353",NA,"487"
"488","2354",NA,"488"
"489","2355",NA,"489"
"490","2356",NA,"490"
"491","2357",NA,"491"
"492","2358",NA,"492"
"493","2359",NA,"493"
"494","2360",NA,"494"
"495","2361",NA,"495"
"496","2362",NA,"496"
"497","2363",NA,"497"
"498","2364",NA,"498"
"499","2365",NA,"499"
"500","2366",NA,"500"
"501","2367",NA,"501"
"502","1825",NA,"502"
"503","1826","z0","503"
"504","1827","z0","504"
"505","1828","z0","505"
"506","1829",NA,"506"
"507","1830",NA,"507"
"508","1831","z0","508"
"509","1832",NA,"509"
"510","1833",NA,"510"
"511","1834","z0","511"
"512","1835","z0","512"
"513","1836",NA,"513"
"514","1837","z0","514"
"515","1838","z0","515"
"516","1839","z0","516"
"517","1840","z0","517"
"518","1841",NA,"518"
"519","1842","z0","519"
"520","1843",NA,"520"
"521","1844","z0","521"
"522","1845","z0","522"
"523","1846",NA,"523"
"524","1847",NA,"524"
"525","1848",NA,"525"
"526","1849",NA,"526"
"527","1850",NA,"527"
"528","1851",NA,"528"
"529","1852",NA,"529"
"530","1853",NA,"530"
"531","1854","z0","531"
"532","1855","z0","532"
"533","1856","z0","533"
"534","1857",NA,"534"
"535","1858",NA,"535"
"536","1859","z0","536"
"537","1860",NA,"537"
"538","1861",NA,"538"
"539","1862","z0","539"
"540","1863",NA,"540"
"541","1864",NA,"541"
"542","1865","z0","542"
"543","1866",NA,"543"
"544","1867",NA,"544"
"545","1868",NA,"545"
"546","1869",NA,"546"
"547","1870","z0","547"
"548","1871","z0","548"
"549","1872",NA,"549"
"550","1873","z0","550"
"551","1874","z0","551"
"552","1875","z0","552"
"553","1876","z0","553"
"554","1877",NA,"554"
"555","1878",NA,"555"
"556","1879",NA,"556"
"557","1880",NA,"557"
"558","1881",NA,"558"
"559","1882",NA,"559"
"560","1883",NA,"560"
"561","1884",NA,"561"
"562","2445",NA,"562"
"563","2446",NA,"563"
"564","2447",NA,"564"
"565","2463",NA,"565"
"566","2464",NA,"566"
"567","1885",NA,"567"
"568","1886",NA,"568"
"569","1887","z0","569"
"570","1888","z0","570"
"571","1889",NA,"571"
"572","1890",NA,"572"
"573","2448",NA,"573"
"574","2449",NA,"574"
"575","2450",NA,"575"
"576","2451",NA,"576"
"577","2452",NA,"577"
"578","2453",NA,"578"
"579","2454",NA,"579"
"580","2455",NA,"580"
"581","2456",NA,"581"
"582","2457",NA,"582"
"583","2458",NA,"583"
"584","2459",NA,"584"
"585","2460",NA,"585"
"586","2461",NA,"586"
"587","2202",NA,"587"
"588","2203",NA,"588"
"589","2204",NA,"589"
"590","2205",NA,"590"
"591","2206",NA,"591"
"592","2207",NA,"592"
"593","2208",NA,"593"
"594","2209",NA,"594"
"595","2211",NA,"595"
"596","2212",NA,"596"
"597","2213",NA,"597"
"598","2214",NA,"598"
"599","2215",NA,"599"
"600","2216",NA,"600"
"601","2217",NA,"601"
"602","2218",NA,"602"
"603","2219",NA,"603"
"604","2221",NA,"604"
"605","2222",NA,"605"
"606","2223",NA,"606"
"607","2224",NA,"607"
"608","2225",NA,"608"
"609","2226",NA,"609"
"610","2227",NA,"610"
"611","2228",NA,"611"
"612","2229",NA,"612"
"613","2230",NA,"613"
"614","2231",NA,"614"
"615","1941","z0","615"
"616","1942","z0","616"
"617","1956",NA,"617"
"618","1957","z0","618"
"619","2016",NA,"619"
"620","2017",NA,"620"
"621","2018",NA,"621"
"622","2019",NA,"622"
"623","2020",NA,"623"
"624","2021",NA,"624"
"625","2022",NA,"625"
"626","2023",NA,"626"
"627","2024",NA,"627"
"628","2025",NA,"628"
"629","2026",NA,"629"
"630","2027",NA,"630"
"631","2028",NA,"631"
"632","2029",NA,"632"
"633","2030",NA,"633"
"634","2031",NA,"634"
"635","2032",NA,"635"
"636","2033",NA,"636"
"637","1943","z0","637"
"638","1944","z0","638"
"639","1945","z0","639"
"640","1946","z0","640"
"641","1947","z0","641"
"642","1948",NA,"642"
"643","1949",NA,"643"
"644","1950",NA,"644"
"645","1951",NA,"645"
"646","1952",NA,"646"
"647","1953",NA,"647"
"648","1954",NA,"648"
"649","1955",NA,"649"
"650","2005",NA,"650"
"651","2006",NA,"651"
"652","2007",NA,"652"
"653","2008",NA,"653"
"654","2009",NA,"654"
"655","2010",NA,"655"
"656","2011",NA,"656"
"657","2012",NA,"657"
"658","2013",NA,"658"
"659","2014",NA,"659"
"660","2015",NA,"660"
"661","2089",NA,"661"
"662","2090",NA,"662"
"663","2097",NA,"663"
"664","2098",NA,"664"
"665","1915","z0","665"
"666","1916",NA,"666"
"667","1917",NA,"667"
"668","1918",NA,"668"
"669","1919",NA,"669"
"670","1920","z0","670"
"671","1921",NA,"671"
"672","1922",NA,"672"
"673","1923",NA,"673"
"674","2108",NA,"674"
"675","2110",NA,"675"
"676","2111",NA,"676"
"677","2112",NA,"677"
"678","2113",NA,"678"
"679","2114",NA,"679"
"680","2115",NA,"680"
"681","2116",NA,"681"
"682","2117",NA,"682"
"683","2118",NA,"683"
"684","2119",NA,"684"
"685","2120",NA,"685"
"686","1924",NA,"686"
"687","1925",NA,"687"
"688","1926",NA,"688"
"689","1927",NA,"689"
"690","1928",NA,"690"
"691","1929",NA,"691"
"692","1930","z0","692"
"693","1931","z0","693"
"694","1932","z0","694"
"695","1933",NA,"695"
"696","1934",NA,"696"
"697","1935","z0","697"
"698","1936","z0","698"
"699","1937","z0","699"
"700","1938","z0","700"
"701","1939",NA,"701"
"702","1940",NA,"702"
"703","2055",NA,"703"
"704","2056",NA,"704"
"705","2057",NA,"705"
"706","2058",NA,"706"
"707","2059",NA,"707"
"708","2060",NA,"708"
